Infinitive,Präteritum,Partizip Perfekt,English
besuchen,besuchte,besucht,(to visit)
beten,betete,gebetet,(to pray)
bewerben,bewarb,beworben,(to apply)
bezahlen,bezahlte,bezahlt,(to pay for)
biegen,bog,ist gebogen,(to turn, bend)
bieten,bot,geboten,(to offer)
bitten,bat,gebeten,(to ask for)
bleiben,blieb,ist geblieben,(to stay)
blicken,blickte,geblickt,(to look, glance)
brauchen,brauchte,gebraucht,(to need, use)
brechen,brach,gebrochen,(to break)
bringen,brachte,gebracht,(to bring)
bürsten,bürstete,gebürstet,(to brush)
danken,dankte,gedankt,(to thank)
dauern,dauerte,gedauert,(to last)
denken,dachte,gedacht,(to think)
diskutieren,diskutierte,diskutiert,(to discuss)
drücken,drückte,gedrückt,(to press)
duschen,duschte,geduscht,(to shower)
empfehlen,empfahl,empfohlen,(to recommend)
entscheiden,entschied,entschieden,(to decide)
entschuldigen,entschuldigte,entschuldigt,(to excuse oneself)
entspannen,entspannte,entspannt,(to relax)
erinnern,erinnerte,erinnert,(to remember)
erkälten,erkältete,erkältet,(to catch a cold)
erkennen,erkannte,erkannt,(to recognize)
erklären,erklärte,erklärt,(to explain)
erlauben,erlaubte,erlaubt,(to allow, permit)
erleben,erlebte,erlebt,(to experience)
erzählen,erzählte,erzählt,(to tell about)
essen,aß,gegessen,(to eat)
fahren,fuhr,ist gefahren,(to drive, go)
fallen,fiel,ist gefallen,(to fall)
fangen,fing,gefangen,(to catch)
faulenzen,faulenzte,gefaulenzt,(to be lazy)
fehlen,fehlte,gefehlt,(to be missing)
feiern,feierte,gefeiert,(to celebrate)
finden,fand,gefunden,(to find)
fliegen,flog,ist geflogen,(to fly)
folgen,folgte,gefolgt,(to follow)
föhnen,fönte,gefönt,(to blow dry)
fotografieren,fotografierte,fotografiert,(to photograph)
fragen,fragte,gefragt,(to ask)
freuen,freute,gefreut,(to be happy)
fühlen,fühlte,gefühlt,(to feel)
geben,gab,gegeben,(to give)
gefallen,gefiel,gefallen,(to be pleasing, like)
gehen,ging,ist gegangen,(to go)
gehören,gehörte,gehört,(to belong to)
gewinnen,gewann,gewonnen,(to win)
glauben,glaubte,geglaubt,(to believe, think)
gratulieren,gratulierte,gratuliert,(to congratulate)
haben,hatte,gehabt,(to have)
halten,hielt,gehalten,(to stop, hold)
handeln,handelte,gehandelt,(to deal with)
hängen,hing,gehangen,(to hang)
heiraten,heiratete,geheiratet,(to marry)
heißen,hieß,geheißen,(to be called)
helfen,half,geholfen,(to help)
hoffen,hoffte,gehofft,(to hope)
holen,holte,geholt,(to fetch)
hören,hörte,gehört,(to hear, listen)
schließen,schloss,geschlossen,(to close)
schmecken,schmeckte,geschmeckt,(to taste)
schminken,schminkte,geschminkt,(to put on makeup)
schneiden,schnitt,geschnitten,(to cut)
schneien,schneite,geschneit,(to snow)
schreiben,schrieb,geschrieben,(to write)
schreien,schrie,geschrien,(to yell)
schwimmen,schwamm,geschwommen,(to swim)
sehen,sah,gesehen,(to see)
sein,war,ist gewesen,(to be)
setzen,setzte,gesetzt,(to set down)
singen,sang,gesungen,(to sing)
sitzen,saß,gesessen,(to be sitting)
sparen,sparte,gespart,(to save)
spielen,spielte,gespielt,(to play)
spinnen,spann,gesponnen,(to spin)
sprechen,sprach,gesprochen,(to speak)
springen,sprang,ist gesprungen,(to jump)
stehen,stand,gestanden,(to stand)
steigen,stieg,ist gestiegen,(to climb)
stellen,stellte,gestellt,(to place, put)
sterben,starb,ist gestorben,(to die)
stimmen,stimmte,gestimmt,(to be right)
strecken,streckte,gestreckt,(to stretch)
studieren,studierte,studiert,(to study)
suchen,suchte,gesucht,(to look for)
surfen,surfte,gesurft,(to surf)
tanzen,tanzte,getanzt,(to dance)
teilen,teilte,geteilt,(to share)
töten,tötete,getötet,(to kill)
tragen,trug,getragen,(to wear, carry)
träumen,träumte,geträumt,(to dream)
treffen,traf,getroffen,(to meet)
trennen,trennte,getrennt,(to separate)
treten,trat,getreten,(to step, kick)
anfangen,fing an,angefangen,(to begin)
antworten,antwortete,geantwortet,(to answer)
arbeiten,arbeitete,gearbeitet,(to work)
ärgern,ärgerte,geärgert,(to annoy)
aufräumen,räumte auf,aufgeräumt,(to clean up)
aufwachen,wachte auf,ist aufgewacht,(to wake up)
aussehen,sah aus,ausgesehen,(to look like)
baden,badete,gebadet,(to bathe)
bauen,baute,gebaut,(to build)
beeilen,beeilte,beeilt,(to hurry)
beginnen,begann,begonnen,(to begin)
bekommen,bekam,bekommen,(to get, receive)
bestellen,bestellte,bestellt,(to order)
besuchen,besuchte,besucht,(to visit)
beten,betete,gebetet,(to pray)
bewerben,bewarb,beworben,(to apply)
bezahlen,bezahlte,bezahlt,(to pay for)
biegen,bog,ist gebogen,(to turn, bend)
bieten,bot,geboten,(to offer)
bitten,bat,gebeten,(to ask for)
bleiben,blieb,ist geblieben,(to stay)
blicken,blickte,geblickt,(to look, glance)
brauchen,brauchte,gebraucht,(to need, use)
brechen,brach,gebrochen,(to break)
bringen,brachte,gebracht,(to bring)
bürsten,bürstete,gebürstet,(to brush)
danken,dankte,gedankt,(to thank)
dauern,dauerte,gedauert,(to last)
denken,dachte,gedacht,(to think)
diskutieren,diskutierte,diskutiert,(to discuss)
drücken,drückte,gedrückt,(to press)
duschen,duschte,geduscht,(to shower)
empfehlen,empfahl,empfohlen,(to recommend)
fühlen,fühlte,gefühlt,(to feel)
geben,gab,gegeben,(to give)
gefallen,gefiel,gefallen,(to be pleasing, like)
gehen,ging,ist gegangen,(to go)
gehören,gehörte,gehört,(to belong to)
gewinnen,gewann,gewonnen,(to win)
glauben,glaubte,geglaubt,(to believe, think)
gratulieren,gratulierte,gratuliert,(to congratulate)
haben,hatte,gehabt,(to have)
halten,hielt,gehalten,(to stop, hold)
handeln,handelte,gehandelt,(to deal with)
hängen,hing,gehangen,(to hang)
heiraten,heiratete,geheiratet,(to marry)
heißen,hieß,geheißen,(to be called)
helfen,half,geholfen,(to help)
hoffen,hoffte,gehofft,(to hope)
holen,holte,geholt,(to fetch)
hören,hörte,gehört,(to hear, listen)
interessieren,interessierte,interessiert,(to interest)
joggen,joggte,ist gejoggt,(to jog)
kämmen,kämmte,gekämmt,(to comb)
kaufen,kaufte,gekauft,(to buy)
kennen,kannte,gekannt,(to know people)
klettern,kletterte,ist geklettert,(to climb)
klingen,klang,geklungen,(to sound)
kochen,kochte,gekocht,(to cook)
kommen,kam,ist gekommen,(to come)
konzentrieren,konzentrierte,konzentriert,(to concentrate)
kosten,kostete,gekostet,(to cost)
kriegen,kriegte,gekriegt,(to get)
küssen,küsste,geküsst,(to kiss)
lächeln,lächelte,gelächelt,(to smile)
lachen,lachte,gelacht,(to laugh)
lassen,ließ,gelassen,(to let, leave)
laufen,lief,ist gelaufen,(to run, walk)
leben,lebte,gelebt,(to live)
legen,legte,gelegt,(to lay, put down)
